Time,Open,High,Low,Last,Change,%Chg,Volume
11/17/2020,3.8879,3.891,3.8826,3.885,-0.0027,-0.07%,1773
11/16/2020,3.888,3.9002,3.8794,3.8877,0.0019,+0.05%,1795
11/13/2020,3.8945,3.8995,3.8842,3.8858,-0.0087,-0.22%,1771
11/12/2020,3.9052,3.9075,3.8892,3.8945,-0.0107,-0.27%,1727
11/11/2020,3.9083,3.9141,3.8909,3.9052,-0.003,-0.08%,1737
11/10/2020,3.9409,3.9428,3.901,3.9082,-0.0326,-0.83%,1721
11/09/2020,3.9424,3.9486,3.915,3.9408,-0.0016,-0.04%,1732
11/06/2020,3.9629,3.965,3.933,3.9424,-0.0207,-0.52%,1735
11/05/2020,3.9887,4.001,3.9595,3.9631,-0.0257,-0.64%,1755
11/04/2020,3.9982,4.0152,3.9872,3.9888,-0.0097,-0.24%,1684
11/03/2020,4.0107,4.0116,3.9945,3.9985,-0.0122,-0.30%,1761
11/02/2020,4.0197,4.0207,4.0071,4.0107,-0.0056,-0.14%,1791
10/30/2020,4.0196,4.0247,4.0099,4.0163,-0.0033,-0.08%,1754
10/29/2020,4.028,4.0326,4.0183,4.0196,-0.0085,-0.21%,1744
10/28/2020,4.0208,4.0334,4.01,4.0281,0.0071,+0.18%,1727
10/27/2020,4.0305,4.0315,4.0183,4.021,-0.0094,-0.23%,1724
10/26/2020,4.0396,4.0459,4.0254,4.0304,-0.004,-0.10%,1768
10/23/2020,4.0347,4.0381,4.0261,4.0344,-0.0006,-0.01%,1754
10/22/2020,4.0192,4.038,4.019,4.035,0.0158,+0.39%,1776
10/21/2020,4.0198,4.0315,4.0159,4.0192,-0.0001,0.00%,1754
10/20/2020,4.0221,4.0366,4.018,4.0193,-0.0031,-0.08%,1755
10/19/2020,4.0244,4.0262,4.0176,4.0224,0.0052,+0.13%,1769
10/16/2020,4.0219,4.0263,4.0116,4.0172,-0.0048,-0.12%,1745
10/15/2020,4.0144,4.0286,4.0123,4.022,0.0073,+0.18%,1748
10/14/2020,4.0309,4.0309,4.0061,4.0147,-0.0162,-0.40%,1738
10/13/2020,4.0144,4.031,4.0074,4.0309,0.0167,+0.42%,1754
10/12/2020,4.0036,4.0215,3.9949,4.0142,0.0201,+0.50%,1792
10/09/2020,4.0177,4.0219,3.993,3.9941,-0.0237,-0.59%,1752
10/08/2020,4.0225,4.0269,4.0158,4.0178,-0.0046,-0.11%,1742
10/07/2020,4.0342,4.0434,4.0205,4.0224,-0.0118,-0.29%,1719
10/06/2020,4.0332,4.0359,4.0167,4.0342,0.0011,+0.03%,1712
10/05/2020,4.073,4.073,4.0287,4.0331,-0.036,-0.88%,1744
10/02/2020,4.067,4.0781,4.0638,4.0691,0.002,+0.05%,1730
10/01/2020,4.0724,4.078,4.0631,4.0671,-0.0054,-0.13%,1722
09/30/2020,4.0738,4.0841,4.0679,4.0725,-0.0013,-0.03%,1738
09/29/2020,4.076,4.0898,4.0681,4.0738,-0.0022,-0.05%,1732
